"","datetime","comp_level_ft","temperature","conductivity"
"158",2025-05-11 19:00:00,1.79296778762134,26.085,25750.8
"159",2025-05-11 19:15:00,1.79756096347436,26.126,25824.4
"160",2025-05-11 19:30:00,1.80149797134838,26.062,25762.9
"161",2025-05-11 19:45:00,1.80001525299403,26.006,25723.6
"162",2025-05-11 20:00:00,1.79393935878665,26.041,25777.4
"163",2025-05-11 20:15:00,1.79886061862917,26.088,25819.3
"164",2025-05-11 20:30:00,1.79475322835881,26.074,25813.1
"165",2025-05-11 20:45:00,1.80656425198085,26.02,25745.9
"166",2025-05-11 21:00:00,1.80853275591786,25.931,25665.4
"167",2025-05-11 21:15:00,1.80212877772099,25.824,25559.5
"168",2025-05-11 21:30:00,1.80097414335614,25.704,25417.4
"169",2025-05-11 21:45:00,1.80014759298078,25.616,25505.3
"170",2025-05-11 22:00:00,1.80161763053194,25.557,25199.1
"171",2025-05-11 22:15:00,1.8027595840936,25.503,25087.2
"172",2025-05-11 22:30:00,1.80833701191512,25.457,24992.5
"173",2025-05-11 22:45:00,1.80455770563426,25.417,24916.2
"174",2025-05-11 23:00:00,1.81374405734029,25.376,24850.5
"175",2025-05-11 23:15:00,1.81916378356866,25.331,24805.6
"176",2025-05-11 23:30:00,1.80652620957127,25.289,24738.2
"177",2025-05-11 23:45:00,1.8163687292563,25.246,26118.7
"178",2025-05-12,1.81258942297545,25.205,24687.5
"179",2025-05-12 00:15:00,1.79995184897805,25.16,24622.6
"180",2025-05-12 00:30:00,1.80552927679957,25.105,24808.6
"181",2025-05-12 00:45:00,1.81652643084946,25.051,24696.3
"182",2025-05-12 01:00:00,1.81455792691245,25.003,24399.7
"183",2025-05-12 01:15:00,1.81094900302794,24.957,24363.7
"184",2025-05-12 01:30:00,1.81964956915132,24.913,24300
"185",2025-05-12 01:45:00,1.81997765314082,24.866,24234.2
"186",2025-05-12 02:00:00,1.81669681324581,24.815,24170
"187",2025-05-12 02:15:00,1.81013513345578,24.766,24106.2
"188",2025-05-12 02:30:00,1.81883569957916,24.714,24038
"189",2025-05-12 02:45:00,1.81949186755816,24.666,23987.4
"190",2025-05-12 03:00:00,1.81850761558966,24.624,23928.1
"191",2025-05-12 03:15:00,1.82195883788103,24.577,23868.6
"192",2025-05-12 03:30:00,1.83065940400441,24.527,23823.6
