station,valid,altimeter,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-06-21T23:45:00Z,29.85,2025-06-21,23:45:00,45,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
SBA,2025-06-21T23:50:00Z,29.85,2025-06-21,23:50:00,50,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
SBA,2025-06-22T00:00:00Z,29.85,2025-06-22,00:00:00,00,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
SBA,2025-06-22T00:10:00Z,29.85,2025-06-22,00:10:00,10,29.839378465545003,101.04777284193695,33.80583554758853,10.304043492237994
SBA,2025-06-22T00:15:00Z,29.84,2025-06-22,00:15:00,15,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T00:20:00Z,29.84,2025-06-22,00:20:00,20,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T00:30:00Z,29.84,2025-06-22,00:30:00,30,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T00:40:00Z,29.84,2025-06-22,00:40:00,40,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T00:45:00Z,29.84,2025-06-22,00:45:00,45,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T00:50:00Z,29.84,2025-06-22,00:50:00,50,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T01:00:00Z,29.83,2025-06-22,01:00:00,00,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T01:10:00Z,29.83,2025-06-22,01:10:00,10,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T01:15:00Z,29.84,2025-06-22,01:15:00,15,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T01:20:00Z,29.83,2025-06-22,01:20:00,20,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T01:30:00Z,29.83,2025-06-22,01:30:00,30,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T01:40:00Z,29.83,2025-06-22,01:40:00,40,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T01:45:00Z,29.83,2025-06-22,01:45:00,45,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T01:50:00Z,29.83,2025-06-22,01:50:00,50,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T02:00:00Z,29.82,2025-06-22,02:00:00,00,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T02:10:00Z,29.83,2025-06-22,02:10:00,10,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T02:15:00Z,29.83,2025-06-22,02:15:00,15,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T02:20:00Z,29.83,2025-06-22,02:20:00,20,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T02:30:00Z,29.83,2025-06-22,02:30:00,30,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T02:40:00Z,29.82,2025-06-22,02:40:00,40,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T02:45:00Z,29.82,2025-06-22,02:45:00,45,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T02:50:00Z,29.82,2025-06-22,02:50:00,50,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:00:00Z,29.82,2025-06-22,03:00:00,00,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:10:00Z,29.82,2025-06-22,03:10:00,10,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:15:00Z,29.82,2025-06-22,03:15:00,15,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:20:00Z,29.82,2025-06-22,03:20:00,20,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:30:00Z,29.82,2025-06-22,03:30:00,30,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:40:00Z,29.82,2025-06-22,03:40:00,40,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:45:00Z,29.82,2025-06-22,03:45:00,45,29.809389140454,100.94621729134204,33.77185983347035,10.29368766963273
SBA,2025-06-22T03:50:00Z,29.83,2025-06-22,03:50:00,50,29.819385582151,100.98006914154033,33.78318507150974,10.29713961050115
SBA,2025-06-22T04:00:00Z,29.84,2025-06-22,04:00:00,00,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
SBA,2025-06-22T04:10:00Z,29.84,2025-06-22,04:10:00,10,29.829382023848,101.01392099173864,33.79451030954914,10.300591551369573
