station,valid,alti,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-11-30T08:00:00Z,29.99,2025-11-30,08:00:00,00,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T08:10:00Z,29.99,2025-11-30,08:10:00,10,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T08:20:00Z,29.99,2025-11-30,08:20:00,20,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T08:30:00Z,29.99,2025-11-30,08:30:00,30,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T08:40:00Z,29.99,2025-11-30,08:40:00,40,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T08:50:00Z,30,2025-11-30,08:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T09:00:00Z,29.99,2025-11-30,09:00:00,00,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T09:10:00Z,29.99,2025-11-30,09:10:00,10,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T09:20:00Z,30,2025-11-30,09:20:00,20,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T09:30:00Z,30,2025-11-30,09:30:00,30,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T09:40:00Z,30,2025-11-30,09:40:00,40,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T09:50:00Z,30,2025-11-30,09:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T10:00:00Z,30,2025-11-30,10:00:00,00,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T10:10:00Z,30,2025-11-30,10:10:00,10,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T10:20:00Z,30,2025-11-30,10:20:00,20,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T10:30:00Z,30,2025-11-30,10:30:00,30,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T10:40:00Z,30,2025-11-30,10:40:00,40,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T10:50:00Z,30,2025-11-30,10:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T11:00:00Z,29.99,2025-11-30,11:00:00,00,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T11:10:00Z,29.99,2025-11-30,11:10:00,10,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T11:20:00Z,29.99,2025-11-30,11:20:00,20,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-11-30T11:30:00Z,29.98,2025-11-30,11:30:00,30,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T11:40:00Z,29.98,2025-11-30,11:40:00,40,29.975940345774195,101.51019465158595,33.960540151272035,10.351197569011521
SBA,2025-11-30T11:50:00Z,29.97,2025-11-30,11:50:00,50,29.965941699895016,101.4763353471658,33.94921241940036,10.34774486802119
SBA,2025-11-30T12:00:00Z,29.97,2025-11-30,12:00:00,00,29.965941699895016,101.4763353471658,33.94921241940036,10.34774486802119
SBA,2025-11-30T12:10:00Z,29.97,2025-11-30,12:10:00,10,29.965941699895016,101.4763353471658,33.94921241940036,10.34774486802119
